index,Anime Genres,Anime Members,Anime Score
2088,"['Action', 'Adventure', 'Drama', 'Fantasy']",664000.0,7.65
2336,"['Comedy', 'Drama', 'Romance', 'Ecchi']",661000.0,6.38
49,"['Action', 'Horror', 'Supernatural']",661000.0,7.49
2194,"['Action', 'Adventure', 'Fantasy']",656000.0,7.00
2669,"['Action', 'Adventure', 'Fantasy']",656000.0,7.58
2396,"['Comedy', 'Romance']",655000.0,7.58
2721,"['Drama', 'Romance']",653000.0,6.69
2553,"['Gourmet', 'Ecchi']",651000.0,7.98
530,"['Action', 'Adventure', 'Comedy']",650000.0,8.02
1079,['Comedy'],648000.0,6.99
2670,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",645000.0,6.45
2337,"['Action', 'Fantasy']",644000.0,7.15
1604,"['Action', 'Comedy', 'Supernatural']",643000.0,7.27
2195,"['Action', 'Drama']",641000.0,7.83
1928,"['Comedy', 'Romance']",640000.0,7.36
867,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",639000.0,6.76
2979,"['Action', 'Fantasy']",638000.0,7.38
2980,"['Action', 'Supernatural']",636000.0,7.79
2619,"['Comedy', 'Fantasy', 'Ecchi']",636000.0,6.88
1975,['Comedy'],636000.0,7.12
1135,['Comedy'],635000.0,8.17
2981,"['Comedy', 'Romance']",625000.0,8.37
751,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",625000.0,7.75
1605,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",622000.0,8.77
2024,"['Drama', 'SliceofLife']",619000.0,8.39
2293,"['Drama', 'Romance']",619000.0,7.17
801,"['Drama', 'Romance']",619000.0,5.54
1887,"['Action', 'Fantasy', 'Romance', 'Ecchi']",615000.0,6.72
2842,"['Comedy', 'Romance']",611000.0,7.91
752,['Comedy'],609000.0,7.74
1789,['SliceofLife'],609000.0,8.39
1929,"['Comedy', 'Romance']",609000.0,7.91
1831,"['Action', 'Comedy', 'Fantasy', 'Romance', 'SciFi', 'Supernatural', 'Ecchi']",607000.0,6.83
1649,"['Action', 'SciFi', 'Suspense']",606000.0,7.40
1976,"['Drama', 'Fantasy', 'Romance']",606000.0,7.76
1606,['Comedy'],605000.0,7.00
2241,['Comedy'],605000.0,7.29
1339,"['Drama', 'Romance']",604000.0,7.43
1650,"['Comedy', 'Drama', 'Fantasy']",604000.0,7.47
1112,"['Comedy', 'Romance']",601000.0,7.53
1888,"['Comedy', 'Romance', 'Ecchi']",598000.0,7.49
1480,"['Action', 'Fantasy', 'Supernatural', 'Ecchi']",597000.0,7.06
1221,"['Action', 'Comedy', 'SciFi', 'Ecchi']",596000.0,6.65
2397,"['Comedy', 'Romance']",595000.0,6.79
2620,['Comedy'],594000.0,7.57
1222,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",593000.0,7.36
892,"['Comedy', 'Romance', 'SciFi', 'Ecchi']",591000.0,7.00
1080,"['Comedy', 'Romance', 'Supernatural']",588000.0,7.67
2621,"['Adventure', 'Horror', 'Suspense']",587000.0,6.95
577,"['Mystery', 'SciFi']",587000.0,7.91
2294,"['Adventure', 'Comedy', 'Fantasy']",586000.0,7.82
1977,"['Action', 'Adventure', 'Fantasy', 'Mystery']",586000.0,7.29
1340,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",584000.0,8.08
2806,"['Action', 'Adventure', 'Fantasy']",584000.0,6.68
1738,"['Comedy', 'Romance', 'SciFi']",582000.0,7.20
1081,"['Comedy', 'Drama', 'Romance']",580000.0,8.19
2242,"['Action', 'Drama', 'SciFi']",576000.0,7.65
1651,"['Action', 'Adventure', 'Fantasy']",571000.0,7.58
608,"['Drama', 'Romance', 'SliceofLife']",569000.0,8.52
893,"['Drama', 'Mystery', 'Romance', 'Supernatural']",567000.0,6.90
1402,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",566000.0,7.30
1652,"['Drama', 'Romance']",564000.0,7.50
1481,"['Drama', 'Fantasy', 'Romance']",564000.0,7.99
958,"['Action', 'SciFi']",564000.0,7.68
1341,"['Action', 'Drama', 'Fantasy', 'Mystery']",561000.0,7.93
2503,"['Comedy', 'Supernatural']",559000.0,8.43
2554,['Action'],558000.0,7.00
2982,"['Action', 'Adventure', 'Mystery']",558000.0,8.25
1223,"['Action', 'Comedy', 'Supernatural']",554000.0,7.87
1165,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",553000.0,7.74
1930,"['Action', 'Comedy', 'SciFi']",553000.0,9.08
2089,"['Action', 'Horror', 'Mystery', 'Supernatural']",546000.0,7.41
1516,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",544000.0,7.47
2671,"['Gourmet', 'Ecchi']",543000.0,7.75
1136,"['Comedy', 'Romance', 'Ecchi']",538000.0,6.63
753,"['Comedy', 'Romance']",536000.0,8.03
1020,"['Mystery', 'Romance', 'SciFi', 'Suspense']",533000.0,7.77
2672,"['Action', 'Adventure', 'Comedy', 'Fantasy']",529000.0,7.50
1978,"['Action', 'Drama']",529000.0,7.40
1166,"['Action', 'Comedy', 'Supernatural']",528000.0,7.16
2504,['Comedy'],528000.0,7.72
531,"['Action', 'Comedy']",527000.0,8.14
1113,"['Action', 'Adventure', 'Romance']",525000.0,8.32
2983,"['Action', 'Adventure', 'Fantasy']",519000.0,7.46
2758,"['Action', 'Mystery', 'Supernatural']",516000.0,8.22
1342,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",515000.0,7.94
1889,"['Action', 'Romance', 'Supernatural', 'Ecchi']",514000.0,6.44
1979,"['Action', 'Fantasy', 'SciFi']",512000.0,7.22
423,"['Action', 'Drama', 'Fantasy', 'Romance', 'Supernatural']",512000.0,7.46
2025,"['Action', 'Adventure', 'Comedy', 'Fantasy']",511000.0,7.90
1517,"['Comedy', 'Romance']",510000.0,6.95
117,"['Drama', 'Fantasy', 'Romance']",507000.0,7.68
2889,"['Comedy', 'Supernatural']",506000.0,7.85
2090,"['Action', 'Adventure', 'Fantasy']",504000.0,7.73
1224,"['Drama', 'Mystery', 'Romance']",504000.0,8.06
2759,"['Action', 'Comedy', 'Fantasy', 'Romance']",500000.0,6.61
1518,"['Comedy', 'Romance']",499000.0,7.31
2843,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",498000.0,7.45
1,['Sports'],497000.0,8.75
1021,"['Comedy', 'Mystery', 'SciFi', 'SliceofLife']",494000.0,7.22
2091,"['Action', 'Comedy', 'Fantasy']",494000.0,6.86
934,"['Drama', 'SliceofLife', 'Supernatural']",492000.0,8.32
2807,"['BoysLove', 'Drama', 'Romance', 'SliceofLife']",488000.0,8.34
1246,"['Action', 'Comedy', 'SciFi']",488000.0,9.05
2338,['Romance'],487000.0,8.08
1790,"['Action', 'SciFi']",486000.0,7.40
2138,"['Comedy', 'Romance', 'Ecchi']",484000.0,6.73
1137,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",484000.0,6.76
2890,"['Action', 'Mystery', 'SciFi']",479000.0,7.25
2398,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",477000.0,6.16
2399,"['Comedy', 'Romance', 'Ecchi']",475000.0,6.29
1375,"['Comedy', 'Romance', 'Supernatural']",474000.0,7.40
802,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",474000.0,7.42
2139,"['Action', 'Fantasy', 'Romance', 'Supernatural']",469000.0,7.30
532,['Action'],469000.0,8.18
2505,"['Drama', 'GirlsLove', 'Romance']",467000.0,6.46
2555,"['SciFi', 'Sports']",465000.0,7.89
156,"['Action', 'Comedy', 'SciFi']",464000.0,7.61
1296,['SliceofLife'],462000.0,8.38
1297,"['Comedy', 'Romance', 'Ecchi']",460000.0,7.25
2931,"['Gourmet', 'Ecchi']",459000.0,7.32
1167,['Comedy'],459000.0,7.57
2556,"['Comedy', 'Supernatural']",459000.0,8.15
2891,"['Action', 'Comedy', 'Fantasy', 'Horror']",459000.0,8.07
1058,"['Adventure', 'Fantasy', 'Romance']",457000.0,8.32
1082,"['Drama', 'Romance', 'Ecchi']",456000.0,6.09
172,"['Comedy', 'Drama', 'Romance', 'SciFi', 'Ecchi']",454000.0,7.41
1482,"['Action', 'Comedy', 'Romance', 'Supernatural']",453000.0,7.44
1890,"['Action', 'Mystery', 'Supernatural']",453000.0,7.99
803,"['Mystery', 'Supernatural', 'Suspense']",450000.0,8.19
2400,"['Comedy', 'Romance']",450000.0,6.78
2506,"['Adventure', 'Comedy', 'Drama']",450000.0,8.53
959,"['Comedy', 'Romance', 'SciFi', 'Supernatural', 'Ecchi']",449000.0,7.28
2448,"['Action', 'Adventure', 'Fantasy']",448000.0,7.56
2557,"['Action', 'Comedy', 'Romance', 'Ecchi']",447000.0,7.26
2339,"['Action', 'Fantasy', 'SciFi']",444000.0,7.55
1832,"['Comedy', 'Mystery', 'Supernatural']",443000.0,8.45
2449,"['Comedy', 'Supernatural']",443000.0,7.51
