,Name,Gender,Born in,Birth,Death,Age,Movies/Series
304,Austin Stowell,M,"Kensington, Connecticut, USA",24/12/1984,Alive,37.0,38
305,Josie Totah,F,"Sacramento, California, USA",5/8/2001,Alive,21.0,38
306,Gal Gadot,F,"Rosh Ha'ayin, Israel",30/4/1985,Alive,37.0,35
307,Kevin Costner,M,"Lynwood, California, USA",18/1/1955,Alive,67.0,65
308,Alison Brie,F,"Hollywood, Los Angeles, California, USA",29/12/1982,Alive,39.0,76
309,Caitríona Balfe,F,"Dublin, Ireland",4/10/1979,Alive,42.0,17
310,David Burtka,M,"Dearborn, Michigan, USA",29/5/1975,Alive,47.0,21
311,Edward Furlong,M,"Glendale, California, USA",2/8/1977,Alive,45.0,74
312,Anne Hathaway,F,"Brooklyn, New York City, New York, USA",12/11/1982,Alive,39.0,58
313,Liam Neeson,M,"Ballymena, Co. Antrim, Northern Ireland, UK",7/6/1952,Alive,70.0,144
314,Emily Blunt,F,"Roehampton, London, England, UK",23/2/1983,Alive,39.0,49
315,Charlie Heaton,M,"Leeds, West Yorkshire, England, UK",6/2/1994,Alive,28.0,16
316,Kevin Hart,M,"Philadelphia, Pennsylvania, USA",6/7/1979,Alive,43.0,99
317,Janet McTeer,F,"Newcastle, Tyne and Wear, England, UK",5/8/1961,Alive,61.0,67
318,Elizabeth Debicki,F,"Paris, France",24/8/1990,Alive,31.0,25
319,Daniel Radcliffe,M,"Fulham, London, England, UK",23/7/1989,Alive,33.0,42
320,Stephanie Szostak,F,"Paris, France",5/8/1975,Alive,47.0,33
321,Zahn McClarnon,M,"Denver, Colorado, USA",24/10/1966,Alive,55.0,91
322,Chloë Grace Moretz,F,"Atlanta, Georgia, USA",10/2/1997,Alive,25.0,75
323,Gavin Casalegno,M,1999,2/9/1999,Alive,22.0,18
324,Gerard Butler,M,"Paisley, Scotland, UK",13/11/1969,Alive,52.0,70
325,Sarah Jones,F,"Winter Springs, Florida, USA",17/7/1983,Alive,39.0,38
326,Denzel Washington,M,"Mount Vernon, New York, USA",28/12/1954,Alive,67.0,61
327,Willa Fitzgerald,F,"Nashville, Tennessee, USA",17/1/1991,Alive,31.0,36
328,Emmy Rossum,F,"New York City, New York, USA",12/9/1986,Alive,35.0,45
329,Niamh Walsh,F,Australia,17/4/1988,Alive,34.0,12
330,Imogen Poots,F,"London, England, UK",3/6/1989,Alive,33.0,47
331,Steve Carell,M,"Concord, Massachusetts, USA",16/8/1962,Alive,59.0,83
332,Hayley Atwell,F,"London, England, UK",5/4/1982,Alive,40.0,55
333,Christine Ko,F,"Chicago, Illinois, USA",3/8/1988,Alive,34.0,38
334,Kathryn Hahn,F,"Westchester, Illinois, USA",23/7/1973,Alive,49.0,80
335,Joel Kinnaman,M,"Stockholm, Sweden",25/11/1979,Alive,42.0,50
