Season,Anime Name,Anime Score,Anime Members,Anime Genres,More Info,Rank
winter,Ex-Arm,2.91,75K,"Action, Sci-Fi",https://myanimelist.net/anime/38853/Ex-Arm,185
fall,Kanashiki Debu Neko-chan,,3.0K,SliceofLife,https://myanimelist.net/anime/49431/Kanashiki_Debu_Neko-chan,186
fall,Kimi to Fit Boxing,,1.1K,Sports,https://myanimelist.net/anime/49664/Kimi_to_Fit_Boxing,187
fall,Chickip Dancers,,824,SliceofLife,https://myanimelist.net/anime/47623/Chickip_Dancers,188
fall,Gunma-chan,,555,SliceofLife,https://myanimelist.net/anime/49184/Gunma-chan,189
fall,Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,,242,Comedy,https://myanimelist.net/anime/50141/Yoshida_Katsuko_no_Yabai_wa_SDGs__Araburu_Trouble_Sustainable,190
winter,Akachan Honbuchou,,361,Comedy,https://myanimelist.net/anime/48495/Akachan_Honbuchou,191
winter,Kintamani Dog,,100,SliceofLife,https://myanimelist.net/anime/44702/Kintamani_Dog,192
winter,Zannen na Ikimono Jiten (2021),,74,Comedy,https://myanimelist.net/anime/52052/Zannen_na_Ikimono_Jiten_2021,193
spring,Shikaru Neko,,1.6K,SliceofLife,https://myanimelist.net/anime/48442/Shikaru_Neko,194
spring,Mazica Party,,1.4K,Fantasy,https://myanimelist.net/anime/48391/Mazica_Party,195
spring,Uchuu Nanchara Kotetsu-kun,,664,Comedy,https://myanimelist.net/anime/42870/Uchuu_Nanchara_Kotetsu-kun,196
spring,Utau Soccer Panda Mifanda,,391,SliceofLife,https://myanimelist.net/anime/42068/Utau_Soccer_Panda_Mifanda,197
spring,Hyper Positive Yogoremon,,376,Comedy,https://myanimelist.net/anime/48770/Hyper_Positive_Yogoremon,198
spring,Ma-eum-uisoli Season 3,,90,"Comedy, SliceofLife",https://myanimelist.net/anime/50998/Ma-eum-uisoli_Season_3,199
summer,Pretty All Friends Selection,,1.8K,"Comedy, SliceofLife",https://myanimelist.net/anime/48859/Pretty_All_Friends_Selection,200
